air_humidity_100;atm_pressure_main;num_of_resets;piezo_charge;piezo_temperature;chuva
67.0;9412;1;39839;22;0.0
69.0;9417;1;39770;22;0.0
70.0;9430;1;39698;21;0.0
92.0;9443;1;39578;19;1.6
90.0;9405;1;39478;18;0.8
87.0;9393;1;39416;20;0.0
77.0;9387;1;39348;22;0.0
72.0;9382;1;39273;24;0.0
66.0;9379;1;39195;25;0.0
76.0;9384;1;39117;25;0.0
79.0;9392;1;39050;21;0.0
87.0;9398;1;38988;19;0.0
92.0;9400;1;38933;17;0.0
94.0;9403;1;38880;17;0.0
95.0;9404;1;38827;16;0.0
96.0;9398;1;38774;17;0.0
96.0;9391;1;38720;17;0.0
97.0;9384;1;38666;17;0.0
98.0;9383;1;38614;16;0.0
99.0;9381;1;38563;16;0.0
97.0;9386;1;38511;16;0.0
96.0;9390;1;38460;16;0.0
86.0;9396;1;38408;16;0.0
76.0;9399;1;38347;20;0.0
59.0;9400;1;38272;24;0.0
44.0;9401;1;38182;29;0.0
37.0;9395;1;38078;32;0.0
32.0;9387;1;37966;35;0.0
29.0;9380;1;37845;37;0.0
29.0;9369;1;37722;37;0.0
27.0;9358;1;37600;37;0.0
26.0;9354;1;37484;35;0.0
25.0;9350;1;37375;34;0.0
29.0;9353;1;37276;31;0.0
40.0;9360;1;37195;26;0.0
45.0;9367;1;37131;20;0.0
51.0;9372;1;37077;17;0.0
61.0;9376;1;37025;16;0.0
66.0;9379;1;36975;15;0.0
69.0;9378;1;36927;15;0.0
69.0;9374;1;36880;14;0.0
71.0;9372;1;36836;13;0.0
73.0;9369;1;36793;12;0.0
72.0;9368;1;36750;12;0.0
86.0;9372;1;36707;12;0.0
85.0;9378;1;36667;11;0.0
62.0;9384;1;36625;12;0.0
43.0;9394;1;36561;21;0.0
32.0;9401;1;36471;29;0.0
29.0;9401;1;36367;33;0.0
27.0;9397;1;36250;36;0.0
24.0;9390;1;36118;39;0.0
21.0;9383;1;35976;42;0.0
19.0;9377;1;35833;42;0.0
19.0;9366;1;35690;42;0.0
18.0;9356;1;35555;40;0.0
17.0;9356;1;35425;39;0.0
22.0;9360;1;35309;35;0.0
34.0;9363;1;35217;29;0.0
44.0;9368;1;35147;22;0.0
43.0;9377;1;35084;20;0.0
47.0;9384;1;35025;19;0.0
45.0;9388;1;34969;17;0.0
56.0;9389;1;34913;18;0.0
54.0;9387;1;34651;18;0.0
65.0;9394;1;34596;17;0.0
